cod;nome;período;valor
4;S;1980;8.96
5;CO;1980;11.61
2;NE;1980;8.24
3;SE;1980;15.18
1;N;1980;10.27
5;CO;1981;15.64
2;NE;1981;9.71
3;SE;1981;15.52
4;S;1981;9.67
1;N;1981;9.59
2;NE;1982;10.6
1;N;1982;10.2
5;CO;1982;15.6
3;SE;1982;14.6
4;S;1982;10.4
4;S;1983;10.7
2;NE;1983;11.2
1;N;1983;11.1
5;CO;1983;16.4
3;SE;1983;16.6
2;NE;1984;11.6
3;SE;1984;19.9
5;CO;1984;16.3
1;N;1984;12.9
4;S;1984;10.2
3;SE;1985;19.48
2;NE;1985;11.56
1;N;1985;13.55
5;CO;1985;16.21
4;S;1985;9.13
4;S;1986;9.36
3;SE;1986;19.36
2;NE;1986;12.03
1;N;1986;14.34
5;CO;1986;17.62
2;NE;1987;12.07
4;S;1987;9.81
5;CO;1987;19.6
1;N;1987;14.62
3;SE;1987;22.63
2;NE;1988;13.5
4;S;1988;11.4
3;SE;1988;20.5
5;CO;1988;20.6
1;N;1988;15.5
4;S;1989;14
3;SE;1989;25.6
2;NE;1989;15.7
1;N;1989;19
5;CO;1989;22.2
5;CO;1990;20.8
3;SE;1990;30.3
4;S;1990;14.9
2;NE;1990;14.9
1;N;1990;20.2
5;CO;1991;23.1
3;SE;1991;27
4;S;1991;14.8
2;NE;1991;14.9
1;N;1991;20.3
3;SE;1992;24.6
5;CO;1992;21.1
1;N;1992;18
2;NE;1992;14.1
4;S;1992;13.5
1;N;1993;17.1
5;CO;1993;21.3
2;NE;1993;16
4;S;1993;12.3
3;SE;1993;26.2
3;SE;1994;28.5
4;S;1994;12.8
2;NE;1994;15.6
1;N;1994;17.5
5;CO;1994;21.5
5;CO;1995;25.6
4;S;1995;14
2;NE;1995;16.2
1;N;1995;16.5
3;SE;1995;33.4
5;CO;1996;26.47
3;SE;1996;34.04
4;S;1996;13.92
2;NE;1996;18.15
1;N;1996;17.23
2;NE;1997;19.31
5;CO;1997;26.48
3;SE;1997;34.16
1;N;1997;17.4
4;S;1997;15.3
2;NE;1998;18.54
5;CO;1998;25.82
1;N;1998;19.67
4;S;1998;14.75
3;SE;1998;35.88
5;CO;1999;25.89
1;N;1999;17.6
3;SE;1999;37.42
4;S;1999;14.82
2;NE;1999;17.58
1;N;2000;19.29
4;S;2000;15.72
3;SE;2000;37.43
5;CO;2000;29.81
2;NE;2000;19.78
1;N;2001;19.98
4;S;2001;17.22
3;SE;2001;36.69
5;CO;2001;29.06
2;NE;2001;21.92
4;S;2002;18.51
1;N;2002;21.8
5;CO;2002;30.1
2;NE;2002;22.45
3;SE;2002;36.94
1;N;2003;23
3;SE;2003;36.69
4;S;2003;19.72
2;NE;2003;24.05
5;CO;2003;30.05
5;CO;2004;29.2
1;N;2004;22.1
3;SE;2004;32.27
4;S;2004;20.45
2;NE;2004;22.97
1;N;2005;25.07
5;CO;2005;28.13
3;SE;2005;28.17
4;S;2005;20.88
2;NE;2005;25.59
1;N;2006;27.01
5;CO;2006;28.25
3;SE;2006;27.28
4;S;2006;21.04
2;NE;2006;27.99
1;N;2007;27.25
5;CO;2007;28.97
3;SE;2007;24.39
4;S;2007;22.2
2;NE;2007;30.02
3;SE;2008;22.24
1;N;2008;32.06
5;CO;2008;30.96
4;S;2008;24.1
2;NE;2008;32.22
2;NE;2009;33.46
3;SE;2009;21.81
4;S;2009;24.39
1;N;2009;33.75
5;CO;2009;32.45
2;NE;2010;35.73
3;SE;2010;21.34
5;CO;2010;31.27
4;S;2010;23.71
1;N;2010;37.96
5;CO;2011;34.09
1;N;2011;35.07
2;NE;2011;36.42
3;SE;2011;20.45
4;S;2011;22.73
3;SE;2012;21.54
2;NE;2012;39.31
1;N;2012;37.25
5;CO;2012;38.16
4;S;2012;24.13
1;N;2013;35.86
4;S;2013;21
5;CO;2013;37.35
3;SE;2013;20.7
2;NE;2013;39.72
3;SE;2014;21.42
4;S;2014;22.78
2;NE;2014;41.91
1;N;2014;36.44
5;CO;2014;38.03
1;N;2015;39.78
3;SE;2015;19.21
4;S;2015;23.39
2;NE;2015;41.07
5;CO;2015;36.11
3;SE;2016;19.47
5;CO;2016;36.06
1;N;2016;44.55
2;NE;2016;43.68
4;S;2016;24.76
4;S;2017;24.09
5;CO;2017;33.21
3;SE;2017;19.4
2;NE;2017;48.58
1;N;2017;47.43
2;NE;2018;42.5
1;N;2018;46.01
5;CO;2018;29.63
3;SE;2018;16.78
4;S;2018;20.11
3;SE;2019;12.28
5;CO;2019;25.27
1;N;2019;37
2;NE;2019;32.71
4;S;2019;16.83
